sample,value
0.000000000000,3320
0.000002173900,3320
0.000004347800,3320
0.000006521700,3320
0.000008695600,3320
0.000010869500,3320
0.000013043400,3320
0.000015217300,3320
0.000017391200,3320
0.000019565100,3320
0.000021739000,3320
0.000023912900,3320
0.000026086800,3320
0.000028260700,3320
0.000030434600,3320
0.000032608500,3320
0.000034782400,3320
0.000036956300,3320
0.000039130200,3320
0.000041304100,3320
0.000043478000,3320
0.000045651900,3320
0.000047825800,3320
0.000049999700,3320
0.000052173600,3320
0.000054347500,3320
0.000056521400,3320
0.000058695300,3320
0.000060869200,3320
0.000063043100,3360
0.000065217000,3320
0.000067390900,3320
0.000069564800,3320
0.000071738700,3320
0.000073912600,3320
0.000076086500,3320
0.000078260400,3320
0.000080434300,3320
0.000082608200,3320
0.000084782100,3320
0.000086956000,3320
0.000089129900,3320
0.000091303800,3320
0.000093477700,3320
0.000095651600,3320
0.000097825500,3320
0.000099999400,3320
0.000102173300,3320
0.000104347200,3320
0.000106521100,3320
0.000108695000,3320
0.000110868900,3320
0.000113042800,3320
0.000115216700,3320
0.000117390600,3320
0.000119564500,3320
0.000121738400,3320
0.000123912300,3320
0.000126086200,3320
0.000128260100,3320
0.000130434000,3320
0.000132607900,3320
0.000134781800,3320
0.000136955700,3320
0.000139129600,3320
0.000141303500,3320
0.000143477400,3320
0.000145651300,3320
0.000147825200,3360
0.000149999100,3320
0.000152173000,3320
0.000154346900,3320
0.000156520800,3320
0.000158694700,3320
0.000160868600,3320
0.000163042500,3360
0.000165216400,3320
0.000167390300,3360
0.000169564200,3320
0.000171738100,3320
0.000173912000,3320
0.000176085900,3320
0.000178259800,3320
0.000180433700,3320
0.000182607600,3320
0.000184781500,3320
0.000186955400,3320
0.000189129300,3320
0.000191303200,3320
0.000193477100,3320
0.000195651000,3320
0.000197824900,3320
0.000199998800,3360
0.000202172700,3320
0.000204346600,3320
0.000206520500,3320
0.000208694400,3320
0.000210868300,3320
0.000213042200,3320
0.000215216100,3320
0.000217390000,3320
0.000219563900,3320
0.000221737800,3320
0.000223911700,3320
0.000226085600,3320
0.000228259500,3320
0.000230433400,3320
0.000232607300,3320
0.000234781200,3320
0.000236955100,3360
0.000239129000,3320
0.000241302900,3360
0.000243476800,3320
0.000245650700,3320
0.000247824600,3320
0.000249998500,3320
0.000252172400,3320
0.000254346300,3320
0.000256520200,3360
0.000258694100,3320
0.000260868000,3320
0.000263041900,3320
0.000265215800,3320
0.000267389700,3320
0.000269563600,3320
0.000271737500,3320
0.000273911400,3320
0.000276085300,3320
0.000278259200,3320
0.000280433100,3320
0.000282607000,3320
0.000284780900,3320
0.000286954800,3320
0.000289128700,3320
0.000291302600,3320
0.000293476500,3320
0.000295650400,3360
0.000297824300,3320
0.000299998200,3320
0.000302172100,3320
0.000304346000,3320
0.000306519900,3320
0.000308693800,3320
0.000310867700,3360
0.000313041600,3320
0.000315215500,3320
0.000317389400,3360
0.000319563300,3360
0.000321737200,3320
0.000323911100,3320
0.000326085000,3360
0.000328258900,3320
0.000330432800,3320
0.000332606700,3320
0.000334780600,3360
0.000336954500,3320
0.000339128400,3360
0.000341302300,3320
0.000343476200,3320
0.000345650100,3320
0.000347824000,3320
0.000349997900,3320
0.000352171800,3320
0.000354345700,3320
0.000356519600,3320
0.000358693500,3320
0.000360867400,3320
0.000363041300,3320
0.000365215200,3320
0.000367389100,3320
0.000369563000,3320
0.000371736900,3320
0.000373910800,3320
0.000376084700,3320
0.000378258600,3320
0.000380432500,3320
0.000382606400,3320
0.000384780300,3320
0.000386954200,3360
0.000389128100,3320
0.000391302000,3320
0.000393475900,3320
0.000395649800,3320
0.000397823700,3360
0.000399997600,3320
0.000402171500,3320
0.000404345400,3320
0.000406519300,3320
0.000408693200,3320
0.000410867100,3320
0.000413041000,3320
0.000415214900,3320
0.000417388800,3320
0.000419562700,3320
0.000421736600,3320
0.000423910500,3320
0.000426084400,3320
0.000428258300,3320
0.000430432200,3360
0.000432606100,3360
0.000434780000,3320
0.000436953900,3360
0.000439127800,3320
0.000441301700,3320
0.000443475600,3360
0.000445649500,3360
0.000447823400,3320
0.000449997300,3320
0.000452171200,3360
0.000454345100,3320
0.000456519000,3320
0.000458692900,3320
0.000460866800,3320
0.000463040700,3360
0.000465214600,3320
0.000467388500,3320
0.000469562400,3320
0.000471736300,3360
0.000473910200,3320
0.000476084100,3320
0.000478258000,3320
0.000480431900,3320
0.000482605800,3320
